aid,view,danmaku,reply,favorite,coin,share
12,523008,1558,3147,4469,444,437
7,1288810,26687,31438,12612,2884,1030
2,--,2603,6567,2125,689,1382
9,1330000,5551,6565,12774,1306,1437
20,177969,3971,2328,4352,478,180
16,126387,1629,1727,1194,126,82
23,--,49818,14655,37607,3757,8883
24,215481,5250,1067,3475,343,193
28,61373,1594,836,590,71,29
25,71144,976,641,1029,72,55
36,20563,283,374,287,35,10
26,95639,2252,706,2238,300,170
31,65705,1410,670,470,25,43
33,41493,415,518,381,19,20
40,51085,524,605,448,24,31
32,13657,176,540,350,22,21
47,99807,1174,1011,1594,383,101
41,16656,285,371,509,41,17
44,20577,350,340,292,33,14
39,247700,9825,2199,3354,195,523
48,30380,302,309,319,46,17
45,30327,922,400,521,85,26
46,20837,388,260,246,21,7
55,67831,596,1357,497,102,31
57,67216,1059,496,2282,184,117
54,5122,170,304,333,39,15
56,18659,240,273,573,35,22
52,37269,234,345,450,143,26
51,93335,1293,357,383,12,19
49,40277,163,270,240,10,14
50,56872,1251,879,947,134,75
68,14182,202,144,300,20,11
64,64271,703,278,1467,113,24
65,26300,271,193,341,60,24
60,12592,96,179,282,23,17
63,11316,125,146,121,6,5
62,6902,121,187,133,73,9
72,6094,172,230,136,14,9
73,13338,217,210,262,20,14
84,8409,147,152,219,13,10
78,11413,104,212,109,5,3
79,13789,64,122,121,11,9
83,120032,2672,444,1141,158,99
86,8702,719,242,343,32,21
90,15060,103,126,118,8,6
95,11923,82,104,103,4,9
98,18469,434,322,274,39,9
105,16957,493,146,240,47,17
93,9775,495,127,225,17,13
94,6257,66,99,126,3,7
100,72455,2225,2133,1673,1146,65
104,29009,206,172,249,15,45
97,22266,397,137,308,31,14
88,30326,236,278,372,53,35
96,64940,189,214,213,9,11
102,15812,334,160,120,21,16
101,66733,756,365,985,103,33
107,1749783,56590,8763,51048,6996,4584
106,3438289,111362,16504,78696,14889,13552
108,28580,706,155,147,6,7
110,69731,1097,1156,1597,165,65
121,13511,88,171,110,27,17
116,12470,95,252,103,10,8
119,19499,277,310,174,9,16
117,2489,464,81,61,4,7
122,25972,1887,678,179,9,13
128,5457,28,61,76,5,5
127,8958,67,98,133,12,4
139,13044,748,146,216,15,22
132,12167,341,204,419,52,12
141,6312,213,57,58,5,4
136,1462,200,51,48,6,23
130,6887,455,101,52,9,5
144,4069,49,50,75,5,9
142,1298,41,49,50,3,5
138,11137,287,158,242,57,13
140,4708,62,53,41,3,4
150,18587,408,184,335,30,6
137,7149,91,57,31,1,5
143,15070,412,82,587,119,46
148,4179,47,56,60,9,7
153,2718,688,73,84,15,5
152,9501,422,74,74,8,18
157,4260,5,85,43,9,6
151,9335,169,71,174,6,11
158,3949,27,46,49,3,4
149,5602,62,105,66,4,11
154,10629,213,73,85,17,11
167,1466,23,38,47,7,4
160,7430,91,79,100,13,9
164,5678,62,40,37,2,5
162,4301,72,47,39,3,4
166,6251,291,68,88,3,12
177,12630,236,90,77,3,6
189,5378,159,43,89,6,8
193,6991,18,51,62,10,5
192,6591,33,56,57,11,2
185,4333,6,33,39,1,4
205,28815,1781,107,422,59,63
208,6252,40,36,32,8,6
196,1904,1,41,32,1,6
195,7605,200,70,108,10,6
200,14840,212,145,103,11,6
217,113257,499,168,377,22,15
201,6682,52,47,38,3,4
203,5858,16,45,42,5,8
220,4371,11,46,58,6,2
221,15258,47,184,431,25,14
210,981,84,44,67,3,6
228,2325,14,31,37,1,4
222,3412,391,176,238,51,24
218,3209,5,39,35,3,5
234,4318,40,59,33,2,4
219,6759,14,41,39,58,6
229,12430,92,37,35,2,5
