name,price,sale_area,judge,
波司登短款修身青年保暖男士百搭基础羽绒服轻薄秋季外套B1601011,268,51660,评价: 21629,21629.00 
BSD波司登显瘦修身时尚轻薄羽绒服女基础款韩版外套B1601010,268,51352,评价: 20951,20951.00 
波司登2017新款秋季超薄青年休闲短款羽绒服男轻薄修身潮B1701011,239,48980,评价: 14159,14159.00 
波司登2017新款秋季时尚韩版轻薄羽绒服女短款修身显瘦潮B1701010,239,47208,评价: 12396,12396.00 
BSD波司登冬季中长款时尚迪士尼系列米奇羽绒服女B1601156,647,19067,评价: 7246,7246.00 
BSD波司登韩版大毛领加厚长款羽绒服女 修身长过膝B1501160,898,13566,评价: 5472,5472.00 
BSD波司登百搭时尚女款轻薄秋蓄热保暖轻型羽绒服B1601006X,358,12876,评价: 5043,5043.00 
BSD波司登大毛领长款羽绒服女加厚长过膝修身冬装B1601330,1169,13588,评价: 4621,4621.00 
BSD波司登加长百搭连帽男装羽绒服男加厚中长款B1601153,799,11118,评价: 4414,4414.00 
BSD波司登短款轻薄蓄热保暖羽绒服女修身美外套B1501020X,299,13819,评价: 4316,4316.00 
波司登冬季韩版休闲百搭男士轻薄短款羽绒服潮B1601005X,239,10354,评价: 4182,4182.00 
BSD波司登休闲中长款连帽男士冬季保暖羽绒服潮B1601115,799,10291,评价: 4180,4180.00 
BSD波司登秋季羽绒服女款连帽运动外套轻薄羽绒衣B1501026,299,12702,评价: 4172,4172.00 
BSD波司登街头百搭连帽气质直筒长款女时尚羽绒服B1601198,899,10106,评价: 4063,4063.00 
波司登羽绒马甲女春秋2017新款百搭短款V领妈妈装马夹B1701602,136,17423,评价: 3990,3990.00 
BSD波司登男款轻薄短款连帽时尚青年羽绒服保暖B1601013,358,9629,评价: 3941,3941.00 
波司登百搭时尚哑光轻型修身轻薄女式羽绒服B1601018,358,10103,评价: 3582,3582.00 
波司登2017新款秋冬百搭居家无袖内胆羽绒马甲内穿中年款B1701603,136,17692,评价: 3488,3488.00 
波司登2017新款冬季短款时尚韩版修身短款潮轻薄羽绒服女B1701522,239,14373,评价: 3457,3457.00 
波司登2017新品羽绒裤男冬内穿宽松百搭保暖长裤B1701619,193,15102,评价: 3448,3448.00 
BSD波司登百搭简约纯色立领轻薄修身女士秋羽绒服B1601522,268,8810,评价: 3418,3418.00 
BSD波司登2017新款冬季短款保暖外套潮轻薄羽绒服男B1701515,239,15420,评价: 3350,3350.00 
【预售】波司登2017新款秋季时尚韩版轻薄羽绒服女短款潮B1701010,239,8931,评价: 3180,3180.00 
【预售】波司登2017新款秋季超薄短款羽绒服男轻薄修身潮B1701011,239,8571,评价: 3136,3136.00 
BSD波司登保暖内衣女款内穿保暖宽松中老年羽绒服B1501612,199,9094,评价: 3074,3074.00 
波司登2017新品春秋羽绒马甲男中年短款轻薄内穿V领马夹B1701601,169,9642,评价: 2942,2942.00 
BSD波司登冬中老年 女 妈妈装花纹气质短款 羽绒服B1501250B,479,7906,评价: 2923,2923.00 
波司登2017新款秋冬大码女士中老年内穿羽绒马甲内胆B1701604B,136,13240,评价: 2904,2904.00 
波司登冬装简约女式轻薄百搭修身短款羽绒服B1601014,358,8146,评价: 2743,2743.00 
BSD波司登修身欧洲站短外套轻薄欧美女士羽绒服反季B1501022,299,7656,评价: 2719,2719.00 
波司登羽绒服男运动时尚连帽活力外套保暖反季清仓B1301041,249,13508,评价: 2662,2662.00 
BSD波司登加厚羽绒服男短款修身中年商务休闲冬装B1601245,647,7390,评价: 2645,2645.00 
波司登大毛领中长款女士羽绒服韩版外套B1501184,598,6163,评价: 2633,2633.00 
波司登修身加厚羽绒服女中长款时尚冬季外套反季清仓B1401064F,299,5403,评价: 2453,2453.00 
波司登2017新款男轻薄短款立领薄款羽绒服百搭时尚男装B70131009,359,8654,评价: 2409,2409.00 
BSD波司登中年带帽保暖冬季男款商务绅士羽绒服B1601251,899,6712,评价: 2409,2409.00 
波司登2017新品冬季内穿羽绒服保暖中老年爸爸装羽绒内胆B1701613,217,10332,评价: 2399,2399.00 
波司登2017新品羽绒裤女 中老年内穿直筒中腰百搭长裤B1701622,159,10591,评价: 2269,2269.00 
BSD波司登连帽保暖加厚 迪士尼时尚加长羽绒服B1601127,699,6095,评价: 2203,2203.00 
BSD波司登大毛领羽绒服女中长款加厚修身韩版冬装B1601304,899,5822,评价: 2134,2134.00 
BSD波司登中长款加厚羽绒服女大毛领羽绒衣外套B1401158,449,8181,评价: 2074,2074.00 
波司登时尚保暖女立领外套百搭轻薄显瘦通勤羽绒服反季B1501016,239,8491,评价: 2051,2051.00 
BSD波司登街头男士时尚短款百搭保暖羽绒服B1501043,398,5421,评价: 2017,2017.00 
BSD波司登羽绒服女短款韩版加厚时尚修身冬装B1601110,629,4728,评价: 1863,1863.00 
波司登羽绒服保暖立领都市商务休闲短款男装外套反季清仓B1401099,358,5867,评价: 1798,1798.00 
BSD波司登短款羽绒服女大毛领连帽女装反季B1501110,389,4943,评价: 1772,1772.00 
波司登2017秋季短款连帽轻薄运动男士时尚男装羽绒服B70131001,359,6289,评价: 1719,1719.00 
BSD波司登撞色时尚羽绒服男修身青年冬装外套反季B1501131,569,5573,评价: 1685,1685.00 
BSD波司登荷叶边轻薄羽绒服女款秋季羽绒衣反季B1501032,299,4327,评价: 1670,1670.00 
波司登男简约短款蓄热保暖时尚羽绒服反季上衣立领外套B1501015X,199,9925,评价: 1639,1639.00 
波司登保暖连帽时尚加厚冬季女装中长款羽绒服B1601332,799,4679,评价: 1601,1601.00 
BSD波司登图案冬装羽绒服保暖女修身中长款特价包邮B1301100,189,3980,评价: 1565,1565.00 
BSD波司登立领糖果色修身短款 轻薄 女士羽绒服反季B1401030,219,4244,评价: 1549,1549.00 
BSD波司登羽绒服女中长款加厚修身显瘦韩版冬装反季B1501176,688,4408,评价: 1534,1534.00 
波司登时尚男装90%鹅绒男轻薄中长款羽绒服外套B1601049,566,3988,评价: 1515,1515.00 
波司登2017新款短款连帽运动休闲户外保暖时尚羽绒服男B70141103,799,6685,评价: 1494,1494.00 
BSD波司登冬季直筒时尚中长款女士简约羽绒服B1601174N,699,3958,评价: 1492,1492.00 
BSD波司登羽绒服保暖男带帽简约防寒中长款男装大衣B1301099,489,4500,评价: 1474,1474.00 
波司登中年男士羽绒服中长款加厚貉子毛领修身羽绒衣冬装B1401071,449,5676,评价: 1460,1460.00 
BSD波司登加厚羽绒服女大貉子毛领冬装修身外套B1401160,398,4816,评价: 1419,1419.00 
波司登简约商务男士中长款中年百搭大方冬季保暖羽绒服B1601231Q,799,3726,评价: 1394,1394.00 
BSD波司登冬季热卖女款毛领短款修身羽绒服外套B1301182,379,7601,评价: 1343,1343.00 
波司登百搭常规轻薄短款立领男士简约轻型羽绒服 潮反季B1501013,239,15451,评价: 1329,1329.00 
BSD波司登防寒妈妈装獭兔毛领宽松大码羽绒服女B1501258B,598,4011,评价: 1313,1313.00 
波司登貉子毛瑞丽时尚气质宽松保暖女士外套中长款羽绒服B1601236,899,3739,评价: 1312,1312.00 
波司登冬季羽绒服女韩版甜美修身中长款时尚保暖外套保暖B1301096,269,17808,评价: 1306,1306.00 
波司登欧美羽绒服保暖连帽男士冬装外套男装反季清仓B1401037F,299,3378,评价: 1303,1303.00 
BSD波司登冬季气质立领羽绒服男轻薄纯色短款修身B1601017,349,3471,评价: 1267,1267.00 
BSD波司登 女北方中长款羽绒服貉子毛大毛领含腰带B1401170,449,4429,评价: 1250,1250.00 
波司登2017新款鹅绒中长款运动大毛领女韩版加厚羽绒服B70142018,1699,6598,评价: 1249,1249.00 
波司登2017新款白鹅绒中长款毛领户外极寒系列羽绒服男B70142023,1699,5413,评价: 1240,1240.00 
BSD波司登时尚羽绒服男连帽短款羽绒服男士反季清仓B1301045,239,3265,评价: 1238,1238.00 
波司登羽绒服保暖男街头毛领中长款羊羔毛带毛条反季清仓B1301073,439,3863,评价: 1225,1225.00 
BSD波司登修身女款羽绒服羊羔绒短款防寒潮反季清仓B1301124,269,5659,评价: 1219,1219.00 
波司登羽绒服保暖男款立领修身短撞色夹克外套潮反季清仓B1401039,357,4916,评价: 1213,1213.00 
BSD波司登冬装短款显瘦学院风外套 羽绒服 保暖 女B1401118,299,3728,评价: 1192,1192.00 
波司登保暖冬季毛领时尚女款中长款欧美街头简约羽绒服B1601318,989,3217,评价: 1191,1191.00 
BSD波司登大毛领冬装韩版修身中长款加厚羽绒服女B1401164Z,449,3251,评价: 1178,1178.00 
BSD波司登男短款羽绒服立领百搭常规商务服轻便外套B1601103,458,3158,评价: 1176,1176.00 
波司登羽绒服女修身大毛领送腰带显瘦中长款外套反季清仓B1301228,358,3092,评价: 1173,1173.00 
BSD波司登冬季男款迪士尼米奇长款外套羽绒服 潮B1601123N,1099,3009,评价: 1169,1169.00 
BSD波司登女士 羽绒服 中长款修身连帽冬装外套 女B1301196,241,8642,评价: 1164,1164.00 
BSD波司登连帽加长过膝长款轻薄羽绒服 显瘦女士B1601040,598,3240,评价: 1163,1163.00 
BSD波司登 保暖加厚大毛领可脱卸帽中长款羽绒服男B1501141,499,3190,评价: 1163,1163.00 
BSD波司登迪士尼米妮甜美时尚学生女士连帽羽绒服B1601124,566,3137,评价: 1157,1157.00 
波司登貉子毛大毛领中老年母亲老年装短款保暖女士羽绒服B1601342,699,3283,评价: 1151,1151.00 
BSD波司登羽绒服立领男时尚短款撞色冬季绅士羽绒服B1301157,239,3478,评价: 1148,1148.00 
波司登轻薄女士长款过膝羽绒服时尚棒球领潮B1601048,498,3369,评价: 1130,1130.00 
波司登加长羽绒服女中长款韩版修身西装领冬装B1601046,558,3618,评价: 1116,1116.00 
波司登马甲女春秋2017新款百搭内穿圆领女士休闲羽绒内胆B1701608,169,5390,评价: 1098,1098.00 
BSD波司登保暖女款A版宽松气质斗篷型中长款羽绒服B1501178,688,3066,评价: 1075,1075.00 
波司登保暖百搭冬季直筒大毛领中长款甜美羽绒服女羽绒衣B1601232,899,2603,评价: 1060,1060.00 
波司登冬季拼接外套大衣撞色加厚女款羽绒服女装反季清仓B1401066,269,3066,评价: 1059,1059.00 
波司登字母街头个性通勤简约加长款毛条保暖气质羽绒服女B1601540,989,2917,评价: 1048,1048.00 
BSD波司登冬季北方中长款连帽羽绒服女修身冬装B1301142,399,7820,评价: 1012,1012.00 
BSD波司登防寒毛领中长款宽松韩版羽绒服女羽绒衣B1501112,598,2917,评价: 1009,1009.00 
波司登貉子毛冬季长款加长羽绒服女毛领羽绒衣B1601178,1169,2628,评价: 990,990.00 
BSD波司登外套男款短款休闲立领商务时尚夹克羽绒服B1501017,199,3673,评价: 974,974.00 
波司登青年运动时尚轻薄蓄热羽绒服立领男款短款外套潮B1601007X,289,2311,评价: 961,961.00 
BSD波司登保暖女款甜美活力修身中长款女款羽绒服B1301088,249,2666,评价: 958,958.00 
波司登连帽冬季街头冬季男士时尚短款防寒百搭保暖羽绒服B1601149,699,2279,评价: 954,954.00 
波司登貉子毛短款保暖修身女 连帽羊羔毛羽绒服反季清仓B1301128,284,2398,评价: 953,953.00 
波司登冬加厚羽绒服女中长款大毛领羽绒衣女款B1601134,1099,2404,评价: 946,946.00 
