num,announcementTitle,announcementTitle_a,adjunctUrl,secCode,announcementTime,adjunctSize,adjunctType
1,*ST嘉陵：拟转让部分资产项目资产评估说明,1ST嘉陵拟转让部分资产项目资产评估说明,http://www.cninfo.com.cn/finalpage/2017-11-29/1204175267.PDF,code:600877,2017/11/29 0:00,2128,PDF
2,大连友谊：拟转让公司友谊宾馆项目资产评估说明,2大连友谊拟转让公司友谊宾馆项目资产评估说明,http://www.cninfo.com.cn/finalpage/2017-12-02/1204185065.PDF,code:000679,2017/12/2 0:00,677,PDF
3,海越股份：拟转让股权所涉及的浙江耀江文化广场投资开发有限公司30%股东权益价值评估项目资产评估说明,3海越股份拟转让股权所涉及的浙江耀江文化广场投资开发有限公司30股东权益价值评估项目资产评估说明,http://www.cninfo.com.cn/finalpage/2017-12-06/1204195773.PDF,code:600387,2017/12/6 0:00,1557,PDF
4,南华生物：拟收购所涉及的湖南远泰生物技术有限公司股东全部权益项目资产评估说明,4南华生物拟收购所涉及的湖南远泰生物技术有限公司股东全部权益项目资产评估说明,http://www.cninfo.com.cn/finalpage/2017-12-04/1204186153.PDF,code:000504,2017/12/4 0:00,2003,PDF
5,界龙实业：上海龙樱彩色制版有限公司资产评估报告评估说明,5界龙实业上海龙樱彩色制版有限公司资产评估报告评估说明,http://www.cninfo.com.cn/finalpage/2017-11-25/1204165038.PDF,code:600836,2017/11/25 0:00,788,PDF
6,大连友谊：拟转让公司新友谊商店项目资产评估说明,6大连友谊拟转让公司新友谊商店项目资产评估说明,http://www.cninfo.com.cn/finalpage/2017-12-02/1204185067.PDF,code:000679,2017/12/2 0:00,632,PDF
7,漳州发展：拟股权收购所涉及的福建省泷澄建筑工业有限公司股东全部权益价值资产评估说明,7漳州发展拟股权收购所涉及的福建省泷澄建筑工业有限公司股东全部权益价值资产评估说明,http://www.cninfo.com.cn/finalpage/2017-12-04/1204186622.PDF,code:000753,2017/12/4 11:41,1140,PDF
8,一汽夏利：拟转让动力总成制造相关部分资产及负债项目评估说明,8一汽夏利拟转让动力总成制造相关部分资产及负债项目评估说明,http://www.cninfo.com.cn/finalpage/2017-11-21/1204154129.PDF,code:000927,2017/11/21 0:00,511,PDF
9,建摩B：重庆建设机电有限责任公司拟以部分资产出资评估项目评估说明,9建摩B重庆建设机电有限责任公司拟以部分资产出资评估项目评估说明,http://www.cninfo.com.cn/finalpage/2017-11-16/1204142969.PDF,code:200054,2017/11/16 0:00,825,PDF
10,建摩B：重庆建设机电有限责任公司拟转让设备资产评估项目评估说明,10建摩B重庆建设机电有限责任公司拟转让设备资产评估项目评估说明,http://www.cninfo.com.cn/finalpage/2017-10-31/1204097299.PDF,code:200054,2017/10/31 0:00,410,PDF
11,启迪设计：发行股份及支付现金购买资产行政许可项目审查二次反馈意见回复说明之专项核查意见—评估部分,11启迪设计发行股份及支付现金购买资产行政许可项目审查二次反馈意见回复说明之专项核查意见评估部分,http://www.cninfo.com.cn/finalpage/2017-11-29/1204175821.PDF,code:300500,2017/11/29 15:37,299,PDF
12,*ST弘高：上海东洲资产评估有限公司关于公司重大资产置换及发行股份购买资产暨关联交易之2016年度业绩承诺实现情况的说明及致歉,12ST弘高上海东洲资产评估有限公司关于公司重大资产置换及发行股份购买资产暨关联交易之2016年度业绩承诺实现情况的说明及致歉,http://www.cninfo.com.cn/finalpage/2017-11-23/1204161630.PDF,code:002504,2017/11/23 0:00,268,PDF
13,渤海股份：天津水务投资集团有限公司拟进行资产收购涉及的天津泰达水务有限公司单项资产价值资产评估说明,13渤海股份天津水务投资集团有限公司拟进行资产收购涉及的天津泰达水务有限公司单项资产价值资产评估说明,http://www.cninfo.com.cn/finalpage/2017-11-09/1204126178.PDF,code:000605,2017/11/9 0:00,298,PDF
14,中交地产：拟转让重庆中交西南置业有限公司部分股权项目涉及股东全部权益资产评估说明,14中交地产拟转让重庆中交西南置业有限公司部分股权项目涉及股东全部权益资产评估说明,http://www.cninfo.com.cn/finalpage/2017-11-22/1204155662.PDF,code:000736,2017/11/22 0:00,18633,PDF
15,中通国脉：北京国融兴华资产评估有限责任公司关于中通国脉通信股份有限公司拟收购上海共创信息技术股份有限公司股东全部权益项目评估报告及评估说明,15中通国脉北京国融兴华资产评估有限责任公司关于中通国脉通信股份有限公司拟收购上海共创信息技术股份有限公司股东全部权益项目评估报告及评估说明,http://www.cninfo.com.cn/finalpage/2017-11-03/1204108751.PDF,code:603559,2017/11/3 0:00,41195,PDF
16,三钢闽光：拟发行股份购买资产所涉及的福建三安钢铁有限公司股东全部权益价值评估说明,16三钢闽光拟发行股份购买资产所涉及的福建三安钢铁有限公司股东全部权益价值评估说明,http://www.cninfo.com.cn/finalpage/2017-11-11/1204132212.PDF,code:002110,2017/11/11 0:00,2318,PDF
17,[临时公告]科海股份:拟发行股票收购股权事宜所涉及广东云能计算机科技有限公司股东全部权益价值资产评估报告及说明,17临时公告科海股份拟发行股票收购股权事宜所涉及广东云能计算机科技有限公司股东全部权益价值资产评估报告及说明,http://www.cninfo.com.cn/finalpage/2017-11-22/1204168298.PDF,code:832424,2017/11/22 0:00,18946,PDF
18,山西焦化：关于发行股份及支付现金购买资产并募集配套资金项目前次资产评估结果和本次资产评估结果差异情况说明的公告,18山西焦化关于发行股份及支付现金购买资产并募集配套资金项目前次资产评估结果和本次资产评估结果差异情况说明的公告,http://www.cninfo.com.cn/finalpage/2017-09-30/1204015311.PDF,code:600740,2017/9/30 0:00,249,PDF
19,吉林化纤：吉林化纤集团有限责任公司拟转让所持吉林奇峰化纤股份有限公司部分股权项目资产评估说明,19吉林化纤吉林化纤集团有限责任公司拟转让所持吉林奇峰化纤股份有限公司部分股权项目资产评估说明,http://www.cninfo.com.cn/finalpage/2017-11-21/1204152737.PDF,code:000420,2017/11/21 0:00,1475,PDF
20,金杯汽车：拟股权转让所涉及的沈阳金杯车辆制造有限公司股东全部权益价值评估项目资产评估说明,20金杯汽车拟股权转让所涉及的沈阳金杯车辆制造有限公司股东全部权益价值评估项目资产评估说明,http://www.cninfo.com.cn/finalpage/2017-10-28/1204089490.PDF,code:600609,2017/10/28 0:00,5867,PDF
21,杭电股份：浙江富春江光电科技有限公司资产评估说明,21杭电股份浙江富春江光电科技有限公司资产评估说明,http://www.cninfo.com.cn/finalpage/2017-08-29/1203886849.PDF,code:603618,2017/8/29 0:00,1827,PDF
22,神州易桥：董事会关于本次重大资产出售资产评估评估机构的独立性、评估假设前提的合理性、评估方法与目的的相关性以及评估定价的公允性的说明,22神州易桥董事会关于本次重大资产出售资产评估评估机构的独立性评估假设前提的合理性评估方法与目的的相关性以及评估定价的公允性的说明,http://www.cninfo.com.cn/finalpage/2017-09-30/1204014966.PDF,code:000606,2017/9/30 0:00,228,PDF
